// ----------------------------------------
// alphabet

A 0x0
B 0xb
C 0x8
D 0x2
E 0xe
F 0x3
G 0x5
H 0x4
I 0x22
J 0x26
K 0x28
L 0x25
M 0x2e
N 0x2d
O 0x1f
P 0x23
Q 0xc
R 0xf
S 0x1
T 0x11
U 0x20
V 0x9
W 0xd
X 0x7
Y 0x10
Z 0x6

// ----------------------------------------
// number

0 0x1d
1 0x12
2 0x13
3 0x14
4 0x15
5 0x17
6 0x16
7 0x1a
8 0x1c
9 0x19

// for backward compatibility

KEY_0 0x1d
KEY_1 0x12
KEY_2 0x13
KEY_3 0x14
KEY_4 0x15
KEY_5 0x17
KEY_6 0x16
KEY_7 0x1a
KEY_8 0x1c
KEY_9 0x19

// ----------------------------------------
// symbol

// BACKQUOTE is also known as grave accent or backtick.
BACKQUOTE     0x32
BACKSLASH     0x2a
BRACKET_LEFT  0x21
BRACKET_RIGHT 0x1e
COMMA         0x2b
DOT           0x2f
EQUAL         0x18
MINUS         0x1b
QUOTE         0x27
SEMICOLON     0x29
SLASH         0x2c

// ----------------------------------------
// keypad

KEYPAD_0        0x52
KEYPAD_1        0x53
KEYPAD_2        0x54
KEYPAD_3        0x55
KEYPAD_4        0x56
KEYPAD_5        0x57
KEYPAD_6        0x58
KEYPAD_7        0x59
KEYPAD_8        0x5b
KEYPAD_9        0x5c
KEYPAD_CLEAR    0x47
KEYPAD_COMMA    0x5f
KEYPAD_DOT      0x41
KEYPAD_EQUAL    0x51
KEYPAD_MINUS    0x4e
KEYPAD_MULTIPLY 0x43
KEYPAD_PLUS     0x45
KEYPAD_SLASH    0x4b

// ----------------------------------------
// special

DELETE          0x33
ENTER           0x4c
ENTER_POWERBOOK 0x34
ESCAPE          0x35
FORWARD_DELETE  0x75
HELP            0x72
RETURN          0x24
SPACE           0x31
TAB             0x30

// ----------------------------------------
// function
F1  0x7a
F2  0x78
F3  0x63
F4  0x76
F5  0x60
F6  0x61
F7  0x62
F8  0x64
